ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Price,Yearly_sales,Rating,Genre,Language
446611107,The Rogue,Claire Delacroix,2002,Warner Books,http://images.amazon.com/images/P/0446611107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611107.01.LZZZZZZZ.jpg,$215.80,84655,10,Documentary,Hiri Motu
1551669463,The Italian,Elaine Coffman,2002,Mira,http://images.amazon.com/images/P/1551669463.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551669463.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551669463.01.LZZZZZZZ.jpg,$421.95,28644,1,Drama,Northern Sotho
821772252,Scrooge Wore Spurs,Janet Dailey,2002,Kensington Publishing Corporation,http://images.amazon.com/images/P/0821772252.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821772252.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821772252.01.LZZZZZZZ.jpg,$341.25,91658,2,Drama,Dhivehi
60009241,See Jane Score (Avon Romance),Rachel Gibson,2003,Avon,http://images.amazon.com/images/P/0060009241.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060009241.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060009241.01.LZZZZZZZ.jpg,$182.02,30050,9,Action,French
380819619,The Ring on Her Finger (Avon Romance),Elizabeth Bevarly,2002,Avon,http://images.amazon.com/images/P/0380819619.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380819619.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380819619.01.LZZZZZZZ.jpg,$207.42,35011,4,Comedy,Mongolian
1551668521,Reckless Encounter,Rosemary Rogers,2001,Mira,http://images.amazon.com/images/P/1551668521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668521.01.LZZZZZZZ.jpg,$417.78,59326,7,Romance,Dari
312989202,Finding You/Knowing You : Two Brand-New Novels For One Wonderful Price! (Candellano Family Trilogy),Maureen Child,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312989202.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312989202.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312989202.01.LZZZZZZZ.jpg,$251.91,12506,9,Drama,Gagauz
451208293,Impostress (Signet Historical Romance),Lisa Jackson,2003,Signet Book,http://images.amazon.com/images/P/0451208293.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451208293.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451208293.01.LZZZZZZZ.jpg,$49.29,7997,9,Action,Japanese
084395051X,Savage Destiny (Savage),Cassie Edwards,2003,Leisure Books,http://images.amazon.com/images/P/084395051X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084395051X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084395051X.01.LZZZZZZZ.jpg,$195.81,49131,6,Drama,Hungarian
1551665964,Bride Of Black Douglas (Mira),Elaine Coffman,2000,Mira,http://images.amazon.com/images/P/1551665964.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551665964.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551665964.01.LZZZZZZZ.jpg,$84.75,37387,8,Horror,New Zealand Sign Language
843950676,Texas Bride (Leisure Historical Romance),Leigh Greenwood,2002,Leisure Books,http://images.amazon.com/images/P/0843950676.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843950676.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843950676.01.LZZZZZZZ.jpg,$131.48,16395,9,Drama,Dhivehi
451208153,The Iron Rose,Marsha Canham,2003,Signet Book,http://images.amazon.com/images/P/0451208153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451208153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451208153.01.LZZZZZZZ.jpg,$337.02,95355,8,Drama,Punjabi
60001453,Love With the Proper Husband (Avon Historical Romance),Victoria Alexander,2003,Avon,http://images.amazon.com/images/P/0060001453.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060001453.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060001453.01.LZZZZZZZ.jpg,$481.39,2353,1,Drama,Swahili
60002050,On a Wicked Dawn (Cynster Novels),Stephanie Laurens,2002,Avon Books,http://images.amazon.com/images/P/0060002050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060002050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060002050.01.LZZZZZZZ.jpg,$218.84,5490,7,Comedy,Telugu
373123213,The Italian's Trophy Mistress  (Mistress To A Millionaire),Diana Hamilton,2003,Harlequin,http://images.amazon.com/images/P/0373123213.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373123213.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373123213.01.LZZZZZZZ.jpg,$183.12,28662,2,Drama,Kashmiri
843951346,Seduced by a Rogue,Connie Mason,2003,Leisure Books,http://images.amazon.com/images/P/0843951346.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843951346.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843951346.01.LZZZZZZZ.jpg,$112.53,79504,4,Children,Hindi
1551666766,Naughty Marietta,Nan Ryan,2003,Mira Books,http://images.amazon.com/images/P/1551666766.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551666766.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551666766.01.LZZZZZZZ.jpg,$470.75,35477,7,Action,Armenian
1551666855,The Love Knot,Rebecca Brandewyne,2003,Mira,http://images.amazon.com/images/P/1551666855.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551666855.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551666855.01.LZZZZZZZ.jpg,$13.93,92068,6,Comedy,Ndebele
451208412,Racing Moon,Cassie Edwards,2003,Signet Book,http://images.amazon.com/images/P/0451208412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451208412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451208412.01.LZZZZZZZ.jpg,$400.22,68871,3,Drama,Albanian
61032093,Breathing Room (Avon Romance),Susan Elizabeth Phillips,2003,Avon Books,http://images.amazon.com/images/P/0061032093.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061032093.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061032093.01.LZZZZZZZ.jpg,$340.70,88097,3,Drama,Moldovan
312989431,Deadly Caress (A Francesca Cahill Romance),Brenda Joyce,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312989431.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312989431.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312989431.01.LZZZZZZZ.jpg,$371.15,73150,1,Comedy,Chinese
446611298,Seduced,Pamela Britton,2003,Warner Forever,http://images.amazon.com/images/P/0446611298.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611298.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611298.01.LZZZZZZZ.jpg,$88.34,25687,10,Drama,Polish
843952059,The Very Virile Viking,Sandra Hill,2003,Leisure Books,http://images.amazon.com/images/P/0843952059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843952059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843952059.01.LZZZZZZZ.jpg,$463.45,96624,10,Comedy,Hiri Motu
380812975,Untie My Heart,Judith Ivory,2002,Avon,http://images.amazon.com/images/P/0380812975.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380812975.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380812975.01.LZZZZZZZ.jpg,$200.17,81724,3,Comedy,Papiamento
345447174,Midnight Confessions,CANDICE PROCTOR,2002,Ivy Books,http://images.amazon.com/images/P/0345447174.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345447174.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345447174.01.LZZZZZZZ.jpg,$73.77,26769,8,Drama,Telugu
553583565,Stealing Heaven,Madeline Hunter,2002,Bantam Books,http://images.amazon.com/images/P/0553583565.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553583565.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553583565.01.LZZZZZZZ.jpg,$292.47,34422,6,Comedy,Arabic
804119953,The Ways of Grace,Linda Francis Lee,2002,Ivy Books,http://images.amazon.com/images/P/0804119953.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804119953.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804119953.01.LZZZZZZZ.jpg,$140.15,91914,6,Documentary,Spanish
843950803,Reckless Embrace (Leisure Historical Romance),Madeline Baker,2002,Leisure Books,http://images.amazon.com/images/P/0843950803.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843950803.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843950803.01.LZZZZZZZ.jpg,$186.62,53019,6,Drama,Georgian
553583905,Kingdom Of Moonlight,Josie Litton,2002,Bantam Books,http://images.amazon.com/images/P/0553583905.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553583905.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553583905.01.LZZZZZZZ.jpg,$465.85,22662,6,Comedy,Irish Gaelic
60502312,Breaking All the Rules (Avon Light Contemporary Romances),Sue Civil-Brown,2002,Avon,http://images.amazon.com/images/P/0060502312.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060502312.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060502312.01.LZZZZZZZ.jpg,$39.33,98880,9,Drama,Amharic
1551668920,A Season Of Miracles,Heather Graham,2002,Mira,http://images.amazon.com/images/P/1551668920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668920.01.LZZZZZZZ.jpg,$357.86,74269,9,Drama,Indonesian
451206754,Must Be Magic,Patricia Rice,2002,Signet Book,http://images.amazon.com/images/P/0451206754.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451206754.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451206754.01.LZZZZZZZ.jpg,$495.68,76294,2,Action,Persian
440236401,The Temptress (The Bride Quest),Claire Delacroix,2001,Dell Publishing Company,http://images.amazon.com/images/P/0440236401.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440236401.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440236401.01.LZZZZZZZ.jpg,$178.22,75957,10,Adventure,Macedonian
038081479X,Heart of a Warrior,Johanna Lindsey,2002,Avon,http://images.amazon.com/images/P/038081479X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038081479X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038081479X.01.LZZZZZZZ.jpg,$460.65,99304,1,Crime,Mongolian
843949635,Savage Moon,Cassie Edwards,2002,Leisure Books,http://images.amazon.com/images/P/0843949635.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843949635.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843949635.01.LZZZZZZZ.jpg,$164.21,53566,3,Crime,Catalan
843949724,Texas Homecoming (Night Riders),Leigh Greenwood,2002,Leisure Books,http://images.amazon.com/images/P/0843949724.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843949724.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843949724.01.LZZZZZZZ.jpg,$297.57,63718,10,Crime,Afrikaans
821771205,The Mating Game (Zebra Contemporary Romance),Melanie George,2002,Kensington Publishing Corporation,http://images.amazon.com/images/P/0821771205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821771205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821771205.01.LZZZZZZZ.jpg,$201.00,38241,8,Crime,English
312979495,Tempt Me Twice (A Kenyon Family Novel),Barbara Dawson Smith,2001,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312979495.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312979495.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312979495.01.LZZZZZZZ.jpg,$190.93,88972,5,Action,English
440235960,Romancing Riley,Connie Lane,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440235960.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235960.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235960.01.LZZZZZZZ.jpg,$138.91,58625,1,Drama,Hindi
380811065,Lady Sophia's Lover,Lisa Kleypas,2002,Avon,http://images.amazon.com/images/P/0380811065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380811065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380811065.01.LZZZZZZZ.jpg,$273.62,4726,3,Comedy,Papiamento
440224055,Silent Honor,Danielle Steel,1997,Dell,http://images.amazon.com/images/P/0440224055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440224055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440224055.01.LZZZZZZZ.jpg,$251.25,5342,5,Action,Armenian
140255087,The Snow Leopard (Penguin Nature Classics),Peter Matthiessen,1996,Penguin Books,http://images.amazon.com/images/P/0140255087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140255087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140255087.01.LZZZZZZZ.jpg,$301.75,89893,1,Drama,Hebrew
688164307,Every Day's a Party : Louisiana Recipes For Celebrating With Family And Friends,Emeril Lagasse,1999,Morrow Cookbooks,http://images.amazon.com/images/P/0688164307.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688164307.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688164307.01.LZZZZZZZ.jpg,$336.33,17549,5,Drama,Norwegian
671743228,Success Through a Positive Mental Attitude,W. Stone,1991,Pocket,http://images.amazon.com/images/P/0671743228.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671743228.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671743228.01.LZZZZZZZ.jpg,$37.80,22811,8,Drama,Lao
385483813,Intellectual Capital: The New Wealth of Organizations,THOMAS A. STEWART,1998,Currency,http://images.amazon.com/images/P/0385483813.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385483813.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385483813.01.LZZZZZZZ.jpg,$57.24,43940,8,Adventure,Papiamento
1556590415,The Book of Questions,Pablo Neruda,1991,Consortium Book Sales &amp; Dist,http://images.amazon.com/images/P/1556590415.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1556590415.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1556590415.01.LZZZZZZZ.jpg,$441.00,93733,10,Drama,Polish
399517405,Italian Light Cooking,Marie Simmons,1992,Perigee Books,http://images.amazon.com/images/P/0399517405.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399517405.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399517405.01.LZZZZZZZ.jpg,$423.27,35803,6,Animation,Pashto
804110867,Other People's Skeletons (Rebecca Schwartz Mysteries),Julie Smith,1994,Ivy Books,http://images.amazon.com/images/P/0804110867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804110867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804110867.01.LZZZZZZZ.jpg,$289.16,94714,10,Crime,Catalan
446400688,Death and the Joyful Woman,Ellis Peters,1995,Warner Books,http://images.amazon.com/images/P/0446400688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446400688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446400688.01.LZZZZZZZ.jpg,$411.63,87314,3,Comedy,Kazakh
425102319,No Wind of Blame,Georgette Heyer,1994,Berkley Pub Group,http://images.amazon.com/images/P/0425102319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425102319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425102319.01.LZZZZZZZ.jpg,$138.29,79565,6,Drama,English
039304856X,Iris and Her Friends: A Memoir of Memory and Desire,John Bayley,1999,W.W. Norton &amp; Company,http://images.amazon.com/images/P/039304856X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039304856X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039304856X.01.LZZZZZZZ.jpg,$234.92,26760,7,Adventure,Macedonian
399143335,The Cat Who Sang for the Birds,Lilian Jackson Braun,1998,Putnam Pub Group,http://images.amazon.com/images/P/0399143335.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399143335.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399143335.01.LZZZZZZZ.jpg,$118.18,14608,10,Drama,Czech
515118249,The Cat Who Blew the Whistle,Lilian Jackson Braun,1996,Jove Books,http://images.amazon.com/images/P/0515118249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515118249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515118249.01.LZZZZZZZ.jpg,$430.25,66260,4,Drama,Latvian
743456823,The Lives of Dax (Star Trek: Deep Space Nine),Marco Palmieri,2002,Star Trek,http://images.amazon.com/images/P/0743456823.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743456823.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743456823.01.LZZZZZZZ.jpg,$186.71,41408,2,Drama,Luxembourgish
385335830,Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,http://images.amazon.com/images/P/0385335830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.LZZZZZZZ.jpg,$66.21,204,5,Comedy,Lao
515130389,Carolina Moon,Nora Roberts,2001,Jove Books,http://images.amazon.com/images/P/0515130389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515130389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg,$325.81,29563,6,Drama,West Frisian
080411935X,Standing in the Rainbow,FANNIE FLAGG,2003,Ballantine Books,http://images.amazon.com/images/P/080411935X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411935X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411935X.01.LZZZZZZZ.jpg,$204.97,56572,4,Comedy,Czech
142004235,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books,http://images.amazon.com/images/P/0142004235.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg,$16.10,10874,2,Drama,Lao
515135062,Three Fates,Nora Roberts,2004,Jove Books,http://images.amazon.com/images/P/0515135062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.LZZZZZZZ.jpg,$262.19,98712,9,Drama,Estonian
1563524317,Down on Ponce: A Novel,Fred Willard,1997,Longstreet Press,http://images.amazon.com/images/P/1563524317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563524317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563524317.01.LZZZZZZZ.jpg,$315.63,64419,8,Comedy,Oriya
8421615386,El Tiempo y la Promesa,Concha Lopez Narvaez,1990,Lectorum Publications,http://images.amazon.com/images/P/8421615386.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8421615386.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8421615386.01.LZZZZZZZ.jpg,$76.51,30337,7,Action,Nepali
140065008,The Deptford Trilogy (King Penguin S.),Robertson Davies,1983,Penguin Books Ltd,http://images.amazon.com/images/P/0140065008.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140065008.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140065008.01.LZZZZZZZ.jpg,$277.22,52022,9,Comedy,Spanish
3257233027,Richtig leben mit Geri Weibel. Neue Folge.,Martin Suter,2002,Diogenes Verlag,http://images.amazon.com/images/P/3257233027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257233027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257233027.01.LZZZZZZZ.jpg,$140.85,76933,8,Crime,Thai
325723273X,Richtig leben mit Geri Weibel.,Martin Suter,2001,Diogenes Verlag,http://images.amazon.com/images/P/325723273X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/325723273X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/325723273X.01.LZZZZZZZ.jpg,$344.72,45389,3,Comedy,Ndebele
743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,http://images.amazon.com/images/P/0743412028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.LZZZZZZZ.jpg,$123.32,30153,1,Crime,Khmer
3442429439,Die geheime Geschichte.,Donna Tartt,1995,Goldmann,http://images.amazon.com/images/P/3442429439.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442429439.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442429439.01.LZZZZZZZ.jpg,$467.34,62138,6,Drama,Hebrew
61056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment,http://images.amazon.com/images/P/0061056774.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061056774.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061056774.01.LZZZZZZZ.jpg,$493.77,41731,1,Drama,Aymara
425169693,Here on Earth (Oprah's Book Club),Alice Hoffman,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425169693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169693.01.LZZZZZZZ.jpg,$445.27,67288,4,Action,Croatian
452269571,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books,http://images.amazon.com/images/P/0452269571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.LZZZZZZZ.jpg,$162.13,8322,6,Comedy,English
051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,http://images.amazon.com/images/P/051513287X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051513287X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051513287X.01.LZZZZZZZ.jpg,$117.73,17762,9,Drama,Marathi
618002219,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002219.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618002219.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618002219.01.LZZZZZZZ.jpg,$27.39,69386,7,Drama,Azeri
553576399,Distraction: A Novel,Bruce Sterling,1999,Spectra Books,http://images.amazon.com/images/P/0553576399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553576399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553576399.01.LZZZZZZZ.jpg,$428.64,27226,8,Drama,Gujarati
451458370,Alien Taste (Roc Science Fiction),Wen Spencer,2001,Roc,http://images.amazon.com/images/P/0451458370.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451458370.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451458370.01.LZZZZZZZ.jpg,$264.15,10176,8,Action,Haitian Creole
441374239,Islands in the Net,Bruce Sterling,1989,Ace Books,http://images.amazon.com/images/P/0441374239.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441374239.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441374239.01.LZZZZZZZ.jpg,$328.88,44760,1,Animation,Burmese
887307884,Dogbert's Top Secret Management Handbook,Scott Adams,1996,HarperCollins Publishers,http://images.amazon.com/images/P/0887307884.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887307884.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887307884.01.LZZZZZZZ.jpg,$21.61,14544,5,Horror,Yiddish
252068505,Hollywood Speaks: Deafness and the Film Entertainment Industry,John S. Schuchman,1999,University of Illinois Press,http://images.amazon.com/images/P/0252068505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0252068505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0252068505.01.LZZZZZZZ.jpg,$419.97,16523,7,Action,Ndebele
804108447,Druids,MORGAN LLYWELYN,1992,Del Rey,http://images.amazon.com/images/P/0804108447.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804108447.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804108447.01.LZZZZZZZ.jpg,$454.75,23211,10,Comedy,Tsonga
671721046,The Deed of Paksenarrion,Elizabeth Moon,1992,Baen,http://images.amazon.com/images/P/0671721046.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721046.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721046.01.LZZZZZZZ.jpg,$493.58,72695,10,Comedy,Tok Pisin
441117732,Count Zero (Ace Science Fiction),William Gibson,1987,Ace Books,http://images.amazon.com/images/P/0441117732.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441117732.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441117732.01.LZZZZZZZ.jpg,$350.43,23929,9,Drama,Irish Gaelic
553576429,A Good Old-Fashioned Future: Stories,Bruce Sterling,1999,Spectra Books,http://images.amazon.com/images/P/0553576429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553576429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553576429.01.LZZZZZZZ.jpg,$420.22,34544,2,Comedy,Montenegrin
915035170,Deaf Culture Our Way,Holcomb,1995,Dawnsign Press,http://images.amazon.com/images/P/0915035170.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0915035170.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0915035170.01.LZZZZZZZ.jpg,$157.27,9575,10,Adventure,Swati
60914254,A Loss for Words : The Story of Deafness in a Family,Lou Ann Walker,1987,Perennial,http://images.amazon.com/images/P/0060914254.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914254.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914254.01.LZZZZZZZ.jpg,$299.59,22701,1,Documentary,Hungarian
441003702,Schismatrix Plus: Includes Schismatrix and Selected Stories from Crystal Express,Bruce Sterling,1996,Ace Books,http://images.amazon.com/images/P/0441003702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441003702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441003702.01.LZZZZZZZ.jpg,$289.55,95458,2,Comedy,Lithuanian
055329461X,The Difference Engine,WILLIAM GIBSON,1992,Spectra,http://images.amazon.com/images/P/055329461X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055329461X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055329461X.01.LZZZZZZZ.jpg,$466.36,64407,7,Horror,Montenegrin
055357549X,Holy Fire: A Novel (Bantam Spectra Book),Bruce Sterling,1997,Bantam Books,http://images.amazon.com/images/P/055357549X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055357549X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055357549X.01.LZZZZZZZ.jpg,$21.37,39078,2,Drama,Pashto
