ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Price,Yearly_sales,Rating,Genre,Language
399143335,The Cat Who Sang for the Birds,Lilian Jackson Braun,1998,Putnam Pub Group,http://images.amazon.com/images/P/0399143335.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399143335.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399143335.01.LZZZZZZZ.jpg,118.18,141400,10,Drama,Czech
515118249,The Cat Who Blew the Whistle,Lilian Jackson Braun,1996,Jove Books,http://images.amazon.com/images/P/0515118249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515118249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515118249.01.LZZZZZZZ.jpg,430.25,53424,4.6,Drama,Latvian
743456823,The Lives of Dax (Star Trek: Deep Space Nine),Marco Palmieri,2002,Star Trek,http://images.amazon.com/images/P/0743456823.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743456823.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743456823.01.LZZZZZZZ.jpg,186.71,38306,2.7,Drama,Luxembourgish
385335830,Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,http://images.amazon.com/images/P/0385335830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.LZZZZZZZ.jpg,66.21,74730,5.4,Comedy,Lao
515130389,Carolina Moon,Nora Roberts,2001,Jove Books,http://images.amazon.com/images/P/0515130389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515130389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515130389.01.LZZZZZZZ.jpg,325.81,89238,6.2,Drama,West Frisian
080411935X,Standing in the Rainbow,FANNIE FLAGG,2003,Ballantine Books,http://images.amazon.com/images/P/080411935X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411935X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411935X.01.LZZZZZZZ.jpg,204.97,74572,4.2,Comedy,Czech
142004235,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books,http://images.amazon.com/images/P/0142004235.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142004235.01.LZZZZZZZ.jpg,16.1,27864,2.2,Drama,Lao
515135062,Three Fates,Nora Roberts,2004,Jove Books,http://images.amazon.com/images/P/0515135062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515135062.01.LZZZZZZZ.jpg,262.19,158922,9.2,Drama,Estonian
1563524317,Down on Ponce: A Novel,Fred Willard,1997,Longstreet Press,http://images.amazon.com/images/P/1563524317.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563524317.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563524317.01.LZZZZZZZ.jpg,315.63,133824,8.8,Comedy,Oriya
8421615386,El Tiempo y la Promesa,Concha Lopez Narvaez,1990,Lectorum Publications,http://images.amazon.com/images/P/8421615386.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8421615386.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8421615386.01.LZZZZZZZ.jpg,76.51,127806,7.3,Action,Nepali
140065008,The Deptford Trilogy (King Penguin S.),Robertson Davies,1983,Penguin Books Ltd,http://images.amazon.com/images/P/0140065008.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140065008.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140065008.01.LZZZZZZZ.jpg,277.22,147420,9.1,Comedy,Spanish
3257233027,Richtig leben mit Geri Weibel. Neue Folge.,Martin Suter,2002,Diogenes Verlag,http://images.amazon.com/images/P/3257233027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3257233027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3257233027.01.LZZZZZZZ.jpg,140.85,144752,8.3,Crime,Thai
325723273X,Richtig leben mit Geri Weibel.,Martin Suter,2001,Diogenes Verlag,http://images.amazon.com/images/P/325723273X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/325723273X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/325723273X.01.LZZZZZZZ.jpg,344.72,56100,3.2,Comedy,Ndebele
743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket,http://images.amazon.com/images/P/0743412028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412028.01.LZZZZZZZ.jpg,123.32,17368,1.3,Crime,Khmer
3442429439,Die geheime Geschichte.,Donna Tartt,1995,Goldmann,http://images.amazon.com/images/P/3442429439.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3442429439.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3442429439.01.LZZZZZZZ.jpg,467.34,80958,6.6,Drama,Hebrew
61056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment,http://images.amazon.com/images/P/0061056774.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061056774.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061056774.01.LZZZZZZZ.jpg,493.77,11025,1.3,Drama,Aymara
425169693,Here on Earth (Oprah's Book Club),Alice Hoffman,1999,Berkley Publishing Group,http://images.amazon.com/images/P/0425169693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425169693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425169693.01.LZZZZZZZ.jpg,445.27,76760,4.7,Action,Croatian
452269571,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books,http://images.amazon.com/images/P/0452269571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.LZZZZZZZ.jpg,162.13,76956,6.7,Comedy,English
051513287X,Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,Jove Books,http://images.amazon.com/images/P/051513287X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051513287X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051513287X.01.LZZZZZZZ.jpg,117.73,125568,9.5,Drama,Marathi
618002219,The Hobbit: or There and Back Again,J.R.R. Tolkien,1999,Houghton Mifflin Company,http://images.amazon.com/images/P/0618002219.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618002219.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0618002219.01.LZZZZZZZ.jpg,27.39,139629,7.3,Drama,Azeri
553576399,Distraction: A Novel,Bruce Sterling,1999,Spectra Books,http://images.amazon.com/images/P/0553576399.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553576399.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553576399.01.LZZZZZZZ.jpg,428.64,127312,8.7,Drama,Gujarati
451458370,Alien Taste (Roc Science Fiction),Wen Spencer,2001,Roc,http://images.amazon.com/images/P/0451458370.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451458370.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451458370.01.LZZZZZZZ.jpg,264.15,143824,8.3,Action,Haitian Creole
441374239,Islands in the Net,Bruce Sterling,1989,Ace Books,http://images.amazon.com/images/P/0441374239.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441374239.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441374239.01.LZZZZZZZ.jpg,328.88,20570,1.4,Animation,Burmese
887307884,Dogbert's Top Secret Management Handbook,Scott Adams,1996,HarperCollins Publishers,http://images.amazon.com/images/P/0887307884.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887307884.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887307884.01.LZZZZZZZ.jpg,21.61,65790,5.6,Horror,Yiddish
252068505,Hollywood Speaks: Deafness and the Film Entertainment Industry,John S. Schuchman,1999,University of Illinois Press,http://images.amazon.com/images/P/0252068505.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0252068505.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0252068505.01.LZZZZZZZ.jpg,419.97,130032,7.7,Action,Ndebele
804108447,Druids,MORGAN LLYWELYN,1992,Del Rey,http://images.amazon.com/images/P/0804108447.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804108447.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804108447.01.LZZZZZZZ.jpg,454.75,155100,10,Comedy,Tsonga
671721046,The Deed of Paksenarrion,Elizabeth Moon,1992,Baen,http://images.amazon.com/images/P/0671721046.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721046.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721046.01.LZZZZZZZ.jpg,493.58,175100,10,Comedy,Tok Pisin
441117732,Count Zero (Ace Science Fiction),William Gibson,1987,Ace Books,http://images.amazon.com/images/P/0441117732.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441117732.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441117732.01.LZZZZZZZ.jpg,350.43,147150,9.4,Drama,Irish Gaelic
553576429,A Good Old-Fashioned Future: Stories,Bruce Sterling,1999,Spectra Books,http://images.amazon.com/images/P/0553576429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553576429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553576429.01.LZZZZZZZ.jpg,420.22,36520,2.6,Comedy,Montenegrin
915035170,Deaf Culture Our Way,Holcomb,1995,Dawnsign Press,http://images.amazon.com/images/P/0915035170.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0915035170.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0915035170.01.LZZZZZZZ.jpg,157.27,135000,10,Adventure,Swati
60914254,A Loss for Words : The Story of Deafness in a Family,Lou Ann Walker,1987,Perennial,http://images.amazon.com/images/P/0060914254.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060914254.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060914254.01.LZZZZZZZ.jpg,299.59,16430,1.5,Documentary,Hungarian
441003702,Schismatrix Plus: Includes Schismatrix and Selected Stories from Crystal Express,Bruce Sterling,1996,Ace Books,http://images.amazon.com/images/P/0441003702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441003702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441003702.01.LZZZZZZZ.jpg,289.55,38160,2.3,Comedy,Lithuanian
055329461X,The Difference Engine,WILLIAM GIBSON,1992,Spectra,http://images.amazon.com/images/P/055329461X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055329461X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055329461X.01.LZZZZZZZ.jpg,466.36,87780,7.2,Horror,Montenegrin
055357549X,Holy Fire: A Novel (Bantam Spectra Book),Bruce Sterling,1997,Bantam Books,http://images.amazon.com/images/P/055357549X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055357549X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055357549X.01.LZZZZZZZ.jpg,21.37,27720,2.2,Drama,Pashto
553373803,The Fifth Sacred Thing,Starhawk,1994,Bantam,http://images.amazon.com/images/P/0553373803.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553373803.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553373803.01.LZZZZZZZ.jpg,208.19,121849,7.4,Comedy,Spanish
60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,Regan Books,http://images.amazon.com/images/P/0060392452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060392452.01.LZZZZZZZ.jpg,333.17,112200,10,Action,Greek
1568650418,The Elric Saga PT. II,Michael Moorcock,1984,Doubleday Books,http://images.amazon.com/images/P/1568650418.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1568650418.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1568650418.01.LZZZZZZZ.jpg,189.01,133984,8.6,Comedy,Catalan
451455789,No One Noticed the Cat,Anne McCaffrey,1996,Roc,http://images.amazon.com/images/P/0451455789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451455789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451455789.01.LZZZZZZZ.jpg,182.42,60588,3.5,Comedy,Georgian
963401661,Great Deaf Americans: The Second Edition,Matthew S. Moore,1996,Deaf Life Press,http://images.amazon.com/images/P/0963401661.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0963401661.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0963401661.01.LZZZZZZZ.jpg,116.2,100580,5.4,Action,Tswana
153895152,Our Latin Heritage (Our Latin Heritage),Lillian M. Hines,1969,Holt Rinehart and Winston,http://images.amazon.com/images/P/0153895152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0153895152.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0153895152.01.LZZZZZZZ.jpg,22.77,71585,5.3,Documentary,Georgian
345412451,The Termination Node,Lois H. Gresh,1999,Ballantine Books,http://images.amazon.com/images/P/0345412451.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345412451.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345412451.01.LZZZZZZZ.jpg,120.39,108900,5.7,Crime,Malayalam
590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg,397.35,133623,9.4,Comedy,Tsonga
941104184,War Against War,Ernst Friedrich,1987,Real Comet Press,http://images.amazon.com/images/P/0941104184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0941104184.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0941104184.01.LZZZZZZZ.jpg,426.51,85892,4.1,Western,Armenian
380815931,In the Beginning...was the Command Line,Neal Stephenson,1999,Perennial,http://images.amazon.com/images/P/0380815931.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380815931.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380815931.01.LZZZZZZZ.jpg,190.87,97370,5.9,Action,Danish
930878132,Guide to Korean Characters: Reading and Writing Hangul and Hanja,Bruce K. Grant,1987,Weatherhill Inc.,http://images.amazon.com/images/P/0930878132.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0930878132.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0930878132.01.LZZZZZZZ.jpg,55.07,39693,3.2,Comedy,Amharic
312263120,Digital Fortress : A Thriller,Dan Brown,2000,St. Martin's Griffin,http://images.amazon.com/images/P/0312263120.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312263120.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312263120.01.LZZZZZZZ.jpg,196.07,114240,10,Drama,Irish Gaelic
806511605,Fairy-Faith in Celtic Countries (Library of the Mystic Arts),W. Y. Evans-Wentz,1990,Citadel Press,http://images.amazon.com/images/P/0806511605.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0806511605.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0806511605.01.LZZZZZZZ.jpg,337.57,117600,7.7,Drama,Montenegrin
7103999,Witch,Fiona Horne,2001,Thorsons Publishers,http://images.amazon.com/images/P/0007103999.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0007103999.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0007103999.01.LZZZZZZZ.jpg,73.45,72000,5.7,Comedy,German
886777844,Summon the Keeper,Tanya Huff,1998,Daw Books,http://images.amazon.com/images/P/0886777844.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0886777844.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0886777844.01.LZZZZZZZ.jpg,82.8,93492,6.8,Comedy,Macedonian
875424961,The 21 Lessons of Merlyn: A Study in Druid Magic and Lore,Douglas Monroe,1992,Llewellyn Publications,http://images.amazon.com/images/P/0875424961.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0875424961.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0875424961.01.LZZZZZZZ.jpg,369.28,71808,4.5,Horror,Spanish
877285314,Spiritual Cleansing: A Handbook of Psychic Protection,Draja Mickaharic,1989,Weiser Books,http://images.amazon.com/images/P/0877285314.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0877285314.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0877285314.01.LZZZZZZZ.jpg,160.28,139920,8.6,Children,Dzongkha
380789116,The Queen's Necklace,Teresa Edgerton,2001,Eos,http://images.amazon.com/images/P/0380789116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380789116.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380789116.01.LZZZZZZZ.jpg,92.66,134000,10,Drama,Bulgarian
2877141667,L'Education Sentimenntale (World Classics),Gustave Flaubert,2000,Bookking International,http://images.amazon.com/images/P/2877141667.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2877141667.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2877141667.01.LZZZZZZZ.jpg,409.83,99840,8.5,Romance,Indonesian
312243359,We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda,Philip Gourevitch,1999,Picador USA,http://images.amazon.com/images/P/0312243359.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312243359.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312243359.01.LZZZZZZZ.jpg,54.48,77765,5.6,(no genres listed),Korean
2742702458,La Virevolte,Nancy Huston,1999,Actes Sud,http://images.amazon.com/images/P/2742702458.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2742702458.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2742702458.01.LZZZZZZZ.jpg,136.52,130240,8.7,Mystery,Romanian
2253182389,Meurtres en soutane,P.D. James,2003,Le Livre de Poche,http://images.amazon.com/images/P/2253182389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2253182389.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2253182389.01.LZZZZZZZ.jpg,285.64,122570,7.4,Adventure,Lao
385498802,Bee Season: A Novel,Myla Goldberg,2001,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385498802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385498802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385498802.01.LZZZZZZZ.jpg,30.78,25410,2.7,Drama,English
141002077,Cherry: A Memoir,Mary Karr,2001,Penguin Books,http://images.amazon.com/images/P/0141002077.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0141002077.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0141002077.01.LZZZZZZZ.jpg,293.93,129600,8.9,Action,Dari
394757653,The Simple Art of Murder (Vintage Crime),RAYMOND CHANDLER,1988,Vintage,http://images.amazon.com/images/P/0394757653.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394757653.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394757653.01.LZZZZZZZ.jpg,412.1,145860,10,Action,Sotho
812579569,Domain,Steve Alten,2002,Tor Books,http://images.amazon.com/images/P/0812579569.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812579569.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812579569.01.LZZZZZZZ.jpg,498.1,161600,10,Horror,English
898655293,Myth-Nomers and Im-Pervections,Robert Asprin,1987,Donning Company Publishers,http://images.amazon.com/images/P/0898655293.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0898655293.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0898655293.01.LZZZZZZZ.jpg,444.96,88810,5.9,Action,Tamil
449904628,Dave Barry Slept Here: A Sort of History of the United States,Dave Barry,1990,Ballantine Books,http://images.amazon.com/images/P/0449904628.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449904628.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449904628.01.LZZZZZZZ.jpg,305.75,173700,9.6,Adventure,English
831750065,In Praise of Cats,Smithmark Publishing,1992,Smithmark Pub,http://images.amazon.com/images/P/0831750065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831750065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831750065.01.LZZZZZZZ.jpg,237.65,132980,10,Comedy,English
446674338,Brown Girl in the Ring,Nalo Hopkinson,1998,Warner Books,http://images.amazon.com/images/P/0446674338.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446674338.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446674338.01.LZZZZZZZ.jpg,303.47,127926,9.7,Comedy,English
449702936,Sons from Afar,Cynthia Voigt,1988,Fawcett Books,http://images.amazon.com/images/P/0449702936.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449702936.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449702936.01.LZZZZZZZ.jpg,428.38,23968,2.9,Documentary,English
449701301,Building Blocks,Cynthia Voigt,1985,Fawcett Books,http://images.amazon.com/images/P/0449701301.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449701301.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449701301.01.LZZZZZZZ.jpg,100.18,49200,3.2,Comedy,English
449703347,Tree by Leaf,Cynthia Voigt,1995,Fawcett Books,http://images.amazon.com/images/P/0449703347.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449703347.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449703347.01.LZZZZZZZ.jpg,128.45,161784,9.3,Drama,English
590477323,Building Blocks (Point),Cynthia Voigt,1994,Scholastic,http://images.amazon.com/images/P/0590477323.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590477323.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590477323.01.LZZZZZZZ.jpg,33.87,64640,4.4,Documentary,Spanish
449701875,Jackaroo,Cynthia Voigt,1989,Fawcett Books,http://images.amazon.com/images/P/0449701875.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449701875.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449701875.01.LZZZZZZZ.jpg,198.97,43329,3.1,Documentary,Quechua
590471570,A Solitary Blue (Point),Cynthia Voigt,1993,Scholastic,http://images.amazon.com/images/P/0590471570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590471570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590471570.01.LZZZZZZZ.jpg,114.3,33708,2.5,Action,Chinese
449702545,Homecoming,Cynthia Voigt,1990,Fawcett Books,http://images.amazon.com/images/P/0449702545.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449702545.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449702545.01.LZZZZZZZ.jpg,255.77,11988,1.7,Documentary,Tok Pisin
156005778,Mister Sandman (Harvest Book),Barbara Gowdy,1998,Harvest Books,http://images.amazon.com/images/P/0156005778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156005778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156005778.01.LZZZZZZZ.jpg,344.45,149350,10,Drama,Arabic
1550223968,Too Close to the Falls: A Memoir,Catherine Gildiner,1999,Independent Pub Group,http://images.amazon.com/images/P/1550223968.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1550223968.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1550223968.01.LZZZZZZZ.jpg,355.66,193920,10,Documentary,Latvian
312291639,The Nanny Diaries: A Novel,Emma McLaughlin,2003,St. Martin's Griffin,http://images.amazon.com/images/P/0312291639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312291639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312291639.01.LZZZZZZZ.jpg,342.2,146060,10,Comedy,Assamese
014043187X,The Picture of Dorian Gray (Penguin Classic),Oscar Wilde,1985,Penguin Books,http://images.amazon.com/images/P/014043187X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014043187X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014043187X.01.LZZZZZZZ.jpg,477.78,73320,5.8,Comedy,Belarusian
425101452,Phantoms,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425101452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425101452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425101452.01.LZZZZZZZ.jpg,288.12,79968,7.6,Comedy,Lithuanian
192816489,No Name (World's Classics),William Wilkie Collins,1987,Oxford University Press,http://images.amazon.com/images/P/0192816489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0192816489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0192816489.01.LZZZZZZZ.jpg,87.06,121660,7.4,Comedy,Portuguese
189251415X,The Bearded Lady,Sharlee Dieguez,1999,Guernica Editions,http://images.amazon.com/images/P/189251415X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/189251415X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/189251415X.01.LZZZZZZZ.jpg,107.93,41409,3.1,Comedy,Moldovan
014018869X,Cold Comfort Farm,Stella Gibbons,1995,Penguin Books,http://images.amazon.com/images/P/014018869X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014018869X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014018869X.01.LZZZZZZZ.jpg,152.42,35802,3.2,Drama,Maltese
1401068049,Revelation and the Fall of Judea,Maurice A. Williams,2002,Xlibris Corporation,http://images.amazon.com/images/P/1401068049.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1401068049.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1401068049.01.LZZZZZZZ.jpg,210.78,91500,5.2,Horror,Afrikaans
2070374637,L'Ami retrouvÃ?Â©,Fred Uhlman,1983,Gallimard,http://images.amazon.com/images/P/2070374637.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070374637.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070374637.01.LZZZZZZZ.jpg,389.04,84000,4.3,(no genres listed),Hindi
2890377741,Lame (Collection Sextant),Esther Rochon,1995,Editions QuÃ©bec/AmÃ©rique,http://images.amazon.com/images/P/2890377741.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2890377741.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2890377741.01.LZZZZZZZ.jpg,59.79,103020,6.2,Drama,Greek
375505296,The Dante Club : A Novel,Matthew Pearl,2003,Random House,http://images.amazon.com/images/P/0375505296.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375505296.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375505296.01.LZZZZZZZ.jpg,89.84,21400,2.6,Comedy,Norwegian
3423350024,Der Wahnsinn der NormalitÃ?Â¤t.,Arno Gruen,1989,Dtv,http://images.amazon.com/images/P/3423350024.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423350024.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423350024.01.LZZZZZZZ.jpg,133.32,30282,2.3,Documentary,Tsonga
034536662X,Jacob the Baker: Gentle Wisdom For a Complicated World,Noah benShea,1990,Ballantine Books,http://images.amazon.com/images/P/034536662X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034536662X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034536662X.01.LZZZZZZZ.jpg,428.24,185840,10,Drama,Swati
